,ds,y,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
137,2009-07-24,10078133.348653432,27323289.754891258,18623903.0388214,24594685.38253806,11160488.693789154,9023709.826628912
138,2009-07-27,9250563.000363216,18623903.0388214,24594685.38253806,11160488.693789154,9023709.826628912,10078133.348653432
139,2009-07-28,7811553.981496152,24594685.38253806,11160488.693789154,9023709.826628912,10078133.348653432,9250563.000363216
140,2009-07-29,7521670.402971847,11160488.693789154,9023709.826628912,10078133.348653432,9250563.000363216,7811553.981496152
141,2009-07-30,7623322.272077743,9023709.826628912,10078133.348653432,9250563.000363216,7811553.981496152,7521670.402971847
142,2009-07-31,10761674.295628658,10078133.348653432,9250563.000363216,7811553.981496152,7521670.402971847,7623322.272077743
143,2009-08-03,8098101.14075501,9250563.000363216,7811553.981496152,7521670.402971847,7623322.272077743,10761674.295628658
144,2009-08-04,6689665.428400037,7811553.981496152,7521670.402971847,7623322.272077743,10761674.295628658,8098101.14075501
145,2009-08-05,6172952.111334968,7521670.402971847,7623322.272077743,10761674.295628658,8098101.14075501,6689665.428400037
146,2009-08-06,6357471.482519014,7623322.272077743,10761674.295628658,8098101.14075501,6689665.428400037,6172952.111334968
147,2009-08-07,6975526.478383348,10761674.295628658,8098101.14075501,6689665.428400037,6172952.111334968,6357471.482519014
148,2009-08-10,5811311.061601922,8098101.14075501,6689665.428400037,6172952.111334968,6357471.482519014,6975526.478383348
149,2009-08-11,5368523.452771933,6689665.428400037,6172952.111334968,6357471.482519014,6975526.478383348,5811311.061601922
150,2009-08-12,5036398.79313126,6172952.111334968,6357471.482519014,6975526.478383348,5811311.061601922,5368523.452771933
151,2009-08-13,4866917.974065909,6357471.482519014,6975526.478383348,5811311.061601922,5368523.452771933,5036398.79313126
152,2009-08-14,5691814.55592375,6975526.478383348,5811311.061601922,5368523.452771933,5036398.79313126,4866917.974065909
153,2009-08-17,5106598.603050591,5811311.061601922,5368523.452771933,5036398.79313126,4866917.974065909,5691814.55592375
154,2009-08-18,4326249.108788379,5368523.452771933,5036398.79313126,4866917.974065909,5691814.55592375,5106598.603050591
155,2009-08-19,4095900.3150279354,5036398.79313126,4866917.974065909,5691814.55592375,5106598.603050591,4326249.108788379
156,2009-08-20,4110043.215134916,4866917.974065909,5691814.55592375,5106598.603050591,4326249.108788379,4095900.3150279354
157,2009-08-21,4590281.906423313,5691814.55592375,5106598.603050591,4326249.108788379,4095900.3150279354,4110043.215134916
158,2009-08-24,4735633.371951802,5106598.603050591,4326249.108788379,4095900.3150279354,4110043.215134916,4590281.906423313
159,2009-08-25,4293941.544712228,4326249.108788379,4095900.3150279354,4110043.215134916,4590281.906423313,4735633.371951802
160,2009-08-26,4197632.717029756,4095900.3150279354,4110043.215134916,4590281.906423313,4735633.371951802,4293941.544712228
161,2009-08-27,4531594.127047089,4110043.215134916,4590281.906423313,4735633.371951802,4293941.544712228,4197632.717029756
162,2009-08-28,4648606.993285308,4590281.906423313,4735633.371951802,4293941.544712228,4197632.717029756,4531594.127047089
163,2009-08-31,5636505.791958398,4735633.371951802,4293941.544712228,4197632.717029756,4531594.127047089,4648606.993285308
164,2009-09-01,4467183.764605464,4293941.544712228,4197632.717029756,4531594.127047089,4648606.993285308,5636505.791958398
165,2009-09-02,3486259.1072573317,4197632.717029756,4531594.127047089,4648606.993285308,5636505.791958398,4467183.764605464
166,2009-09-03,3621777.6730359923,4531594.127047089,4648606.993285308,5636505.791958398,4467183.764605464,3486259.1072573317
167,2009-09-04,4508979.869668918,4648606.993285308,5636505.791958398,4467183.764605464,3486259.1072573317,3621777.6730359923
168,2009-09-08,3915598.3223271314,5636505.791958398,4467183.764605464,3486259.1072573317,3621777.6730359923,4508979.869668918
169,2009-09-09,3594009.1971710725,4467183.764605464,3486259.1072573317,3621777.6730359923,4508979.869668918,3915598.3223271314
170,2009-09-10,3325223.7433129936,3486259.1072573317,3621777.6730359923,4508979.869668918,3915598.3223271314,3594009.1971710725
171,2009-09-11,3411402.4439977775,3621777.6730359923,4508979.869668918,3915598.3223271314,3594009.1971710725,3325223.7433129936
172,2009-09-14,3125336.1434786455,4508979.869668918,3915598.3223271314,3594009.1971710725,3325223.7433129936,3411402.4439977775
173,2009-09-15,3235411.9557624864,3915598.3223271314,3594009.1971710725,3325223.7433129936,3411402.4439977775,3125336.1434786455
174,2009-09-16,3250774.0883403923,3594009.1971710725,3325223.7433129936,3411402.4439977775,3125336.1434786455,3235411.9557624864
175,2009-09-17,3323556.651163985,3325223.7433129936,3411402.4439977775,3125336.1434786455,3235411.9557624864,3250774.0883403923
176,2009-09-18,3275515.2042302038,3411402.4439977775,3125336.1434786455,3235411.9557624864,3250774.0883403923,3323556.651163985
177,2009-09-21,3479984.4773835456,3125336.1434786455,3235411.9557624864,3250774.0883403923,3323556.651163985,3275515.2042302038
178,2009-09-22,3055756.943538307,3235411.9557624864,3250774.0883403923,3323556.651163985,3275515.2042302038,3479984.4773835456
179,2009-09-23,3167432.0007617828,3250774.0883403923,3323556.651163985,3275515.2042302038,3479984.4773835456,3055756.943538307
180,2009-09-24,3124021.8568183826,3323556.651163985,3275515.2042302038,3479984.4773835456,3055756.943538307,3167432.0007617828
181,2009-09-25,3333039.3669864303,3275515.2042302038,3479984.4773835456,3055756.943538307,3167432.0007617828,3124021.8568183826
182,2009-09-28,2800394.0417220113,3479984.4773835456,3055756.943538307,3167432.0007617828,3124021.8568183826,3333039.3669864303
183,2009-09-29,2891342.913515959,3055756.943538307,3167432.0007617828,3124021.8568183826,3333039.3669864303,2800394.0417220113
184,2009-09-30,3357070.09885382,3167432.0007617828,3124021.8568183826,3333039.3669864303,2800394.0417220113,2891342.913515959
185,2009-10-01,2932653.124957828,3124021.8568183826,3333039.3669864303,2800394.0417220113,2891342.913515959,3357070.09885382
186,2009-10-02,3177812.1397057236,3333039.3669864303,2800394.0417220113,2891342.913515959,3357070.09885382,2932653.124957828
187,2009-10-05,2808072.2845855025,2800394.0417220113,2891342.913515959,3357070.09885382,2932653.124957828,3177812.1397057236
188,2009-10-06,2867517.6883632615,2891342.913515959,3357070.09885382,2932653.124957828,3177812.1397057236,2808072.2845855025
189,2009-10-07,2506978.8819282744,3357070.09885382,2932653.124957828,3177812.1397057236,2808072.2845855025,2867517.6883632615
190,2009-10-08,2560671.1823931634,2932653.124957828,3177812.1397057236,2808072.2845855025,2867517.6883632615,2506978.8819282744
191,2009-10-09,3098202.161645698,3177812.1397057236,2808072.2845855025,2867517.6883632615,2506978.8819282744,2560671.1823931634
192,2009-10-13,2537798.423455936,2808072.2845855025,2867517.6883632615,2506978.8819282744,2560671.1823931634,3098202.161645698
193,2009-10-14,2461095.0335955215,2867517.6883632615,2506978.8819282744,2560671.1823931634,3098202.161645698,2537798.423455936
194,2009-10-15,2463381.0081138597,2506978.8819282744,2560671.1823931634,3098202.161645698,2537798.423455936,2461095.0335955215
195,2009-10-16,2533363.5060000145,2560671.1823931634,3098202.161645698,2537798.423455936,2461095.0335955215,2463381.0081138597
196,2009-10-19,2451448.345021067,3098202.161645698,2537798.423455936,2461095.0335955215,2463381.0081138597,2533363.5060000145
197,2009-10-20,2179117.361604822,2537798.423455936,2461095.0335955215,2463381.0081138597,2533363.5060000145,2451448.345021067
198,2009-10-21,2385495.7645816514,2461095.0335955215,2463381.0081138597,2533363.5060000145,2451448.345021067,2179117.361604822
199,2009-10-22,2287593.5442171753,2463381.0081138597,2533363.5060000145,2451448.345021067,2179117.361604822,2385495.7645816514
200,2009-10-23,2611130.4018053506,2533363.5060000145,2451448.345021067,2179117.361604822,2385495.7645816514,2287593.5442171753
201,2009-10-26,2900539.426807757,2451448.345021067,2179117.361604822,2385495.7645816514,2287593.5442171753,2611130.4018053506
202,2009-10-27,2265142.520826699,2179117.361604822,2385495.7645816514,2287593.5442171753,2611130.4018053506,2900539.426807757
203,2009-10-28,2310633.608573269,2385495.7645816514,2287593.5442171753,2611130.4018053506,2900539.426807757,2265142.520826699
204,2009-10-29,2420175.470252586,2287593.5442171753,2611130.4018053506,2900539.426807757,2265142.520826699,2310633.608573269
205,2009-10-30,2436016.4059145604,2611130.4018053506,2900539.426807757,2265142.520826699,2310633.608573269,2420175.470252586
206,2009-10-31,83274.93589567769,2900539.426807757,2265142.520826699,2310633.608573269,2420175.470252586,2436016.4059145604
207,2009-11-03,2073348.9736171304,2265142.520826699,2310633.608573269,2420175.470252586,2436016.4059145604,83274.93589567769
208,2009-11-04,1733085.263889749,2310633.608573269,2420175.470252586,2436016.4059145604,83274.93589567769,2073348.9736171304
209,2009-11-05,1911814.2277035518,2420175.470252586,2436016.4059145604,83274.93589567769,2073348.9736171304,1733085.263889749
210,2009-11-06,2368302.890554706,2436016.4059145604,83274.93589567769,2073348.9736171304,1733085.263889749,1911814.2277035518
211,2009-11-09,2189778.0889741285,83274.93589567769,2073348.9736171304,1733085.263889749,1911814.2277035518,2368302.890554706
212,2009-11-10,1818325.2919011314,2073348.9736171304,1733085.263889749,1911814.2277035518,2368302.890554706,2189778.0889741285
213,2009-11-11,1830301.6700812725,1733085.263889749,1911814.2277035518,2368302.890554706,2189778.0889741285,1818325.2919011314
214,2009-11-12,1951835.564894513,1911814.2277035518,2368302.890554706,2189778.0889741285,1818325.2919011314,1830301.6700812725
215,2009-11-13,1514494.0856619684,2368302.890554706,2189778.0889741285,1818325.2919011314,1830301.6700812725,1951835.564894513
216,2009-11-16,2137699.8764917594,2189778.0889741285,1818325.2919011314,1830301.6700812725,1951835.564894513,1514494.0856619684
217,2009-11-17,1566658.9335970096,1818325.2919011314,1830301.6700812725,1951835.564894513,1514494.0856619684,2137699.8764917594
218,2009-11-18,1684616.620726819,1830301.6700812725,1951835.564894513,1514494.0856619684,2137699.8764917594,1566658.9335970096
219,2009-11-19,1465271.9486153056,1951835.564894513,1514494.0856619684,2137699.8764917594,1566658.9335970096,1684616.620726819
