,ds,y,PIB_RS_TRIMESTRE_ANTERIOR,PIB_BR_MES_ANTERIOR,ADMISSOES_MES_ANTERIOR,DEMISSOES_MES_ANTERIOR,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
2730,2019-08-01,15712067.426428119,148.854056615552,855931.899296145,1331189.0,1287369.0,449331804.6410196,27550362.52897794,273670576.9418746,26184002.150737602,221442944.8974859
2731,2019-08-02,15220885.70516799,148.854056615552,855931.899296145,1331189.0,1287369.0,27550362.52897794,273670576.9418746,26184002.150737602,221442944.8974859,15712067.426428119
2732,2019-08-05,19926699.021458007,148.854056615552,855931.899296145,1331189.0,1287369.0,273670576.9418746,26184002.150737602,221442944.8974859,15712067.426428119,15220885.70516799
2733,2019-08-06,26845857.777164266,148.854056615552,855931.899296145,1331189.0,1287369.0,26184002.150737602,221442944.8974859,15712067.426428119,15220885.70516799,19926699.021458007
2734,2019-08-07,29370741.926757123,148.854056615552,855931.899296145,1331189.0,1287369.0,221442944.8974859,15712067.426428119,15220885.70516799,19926699.021458007,26845857.777164266
2735,2019-08-08,78826892.12752414,148.854056615552,855931.899296145,1331189.0,1287369.0,15712067.426428119,15220885.70516799,19926699.021458007,26845857.777164266,29370741.926757123
2736,2019-08-09,686758198.9622487,148.854056615552,855931.899296145,1331189.0,1287369.0,15220885.70516799,19926699.021458007,26845857.777164266,29370741.926757123,78826892.12752414
2737,2019-08-12,1319353674.9400554,148.854056615552,855931.899296145,1331189.0,1287369.0,19926699.021458007,26845857.777164266,29370741.926757123,78826892.12752414,686758198.9622487
2738,2019-08-13,36990889.33980108,148.854056615552,855931.899296145,1331189.0,1287369.0,26845857.777164266,29370741.926757123,78826892.12752414,686758198.9622487,1319353674.9400554
2739,2019-08-14,246687721.54152894,148.854056615552,855931.899296145,1331189.0,1287369.0,29370741.926757123,78826892.12752414,686758198.9622487,1319353674.9400554,36990889.33980108
2740,2019-08-15,22829027.728999704,148.854056615552,855931.899296145,1331189.0,1287369.0,78826892.12752414,686758198.9622487,1319353674.9400554,36990889.33980108,246687721.54152894
2741,2019-08-16,46951168.76336913,148.854056615552,855931.899296145,1331189.0,1287369.0,686758198.9622487,1319353674.9400554,36990889.33980108,246687721.54152894,22829027.728999704
2742,2019-08-19,25521823.580420967,148.854056615552,855931.899296145,1331189.0,1287369.0,1319353674.9400554,36990889.33980108,246687721.54152894,22829027.728999704,46951168.76336913
2743,2019-08-20,48574977.023456804,148.854056615552,855931.899296145,1331189.0,1287369.0,36990889.33980108,246687721.54152894,22829027.728999704,46951168.76336913,25521823.580420967
2744,2019-08-21,96661817.53330767,148.854056615552,855931.899296145,1331189.0,1287369.0,246687721.54152894,22829027.728999704,46951168.76336913,25521823.580420967,48574977.023456804
2745,2019-08-22,26268164.947037026,148.854056615552,855931.899296145,1331189.0,1287369.0,22829027.728999704,46951168.76336913,25521823.580420967,48574977.023456804,96661817.53330767
2746,2019-08-23,73408573.05162913,148.854056615552,855931.899296145,1331189.0,1287369.0,46951168.76336913,25521823.580420967,48574977.023456804,96661817.53330767,26268164.947037026
2747,2019-08-26,552491328.4992946,148.854056615552,855931.899296145,1331189.0,1287369.0,25521823.580420967,48574977.023456804,96661817.53330767,26268164.947037026,73408573.05162913
2748,2019-08-27,167909564.29331532,148.854056615552,855931.899296145,1331189.0,1287369.0,48574977.023456804,96661817.53330767,26268164.947037026,73408573.05162913,552491328.4992946
2749,2019-08-28,26476178.67600267,148.854056615552,855931.899296145,1331189.0,1287369.0,96661817.53330767,26268164.947037026,73408573.05162913,552491328.4992946,167909564.29331532
2750,2019-08-29,211902038.6550816,148.854056615552,855931.899296145,1331189.0,1287369.0,26268164.947037026,73408573.05162913,552491328.4992946,167909564.29331532,26476178.67600267
2751,2019-08-30,195131727.20061162,148.854056615552,855931.899296145,1331189.0,1287369.0,73408573.05162913,552491328.4992946,167909564.29331532,26476178.67600267,211902038.6550816
2752,2019-08-31,8306645.437625209,148.854056615552,855931.899296145,1331189.0,1287369.0,552491328.4992946,167909564.29331532,26476178.67600267,211902038.6550816,195131727.20061162
2753,2019-09-02,22777228.777287476,148.854056615552,846710.6974245044,1382407.0,1261020.0,167909564.29331532,26476178.67600267,211902038.6550816,195131727.20061162,8306645.437625209
2754,2019-09-03,18076884.893312637,148.854056615552,846710.6974245044,1382407.0,1261020.0,26476178.67600267,211902038.6550816,195131727.20061162,8306645.437625209,22777228.777287476
2755,2019-09-04,16711543.818580428,148.854056615552,846710.6974245044,1382407.0,1261020.0,211902038.6550816,195131727.20061162,8306645.437625209,22777228.777287476,18076884.893312637
2756,2019-09-05,21619716.473925706,148.854056615552,846710.6974245044,1382407.0,1261020.0,195131727.20061162,8306645.437625209,22777228.777287476,18076884.893312637,16711543.818580428
2757,2019-09-06,73661379.68598549,148.854056615552,846710.6974245044,1382407.0,1261020.0,8306645.437625209,22777228.777287476,18076884.893312637,16711543.818580428,21619716.473925706
2758,2019-09-09,694391580.8133746,148.854056615552,846710.6974245044,1382407.0,1261020.0,22777228.777287476,18076884.893312637,16711543.818580428,21619716.473925706,73661379.68598549
2759,2019-09-10,427159174.42559487,148.854056615552,846710.6974245044,1382407.0,1261020.0,18076884.893312637,16711543.818580428,21619716.473925706,73661379.68598549,694391580.8133746
